coordinate_id,route_class,coordinate,state_variable,predicate_path,observable_response,needed_measurement,source_status,boundary,frozen_for_v271
directed_energy:active_source_capacity,directed_energy,active_source_capacity,P_cap,P_cap/P_unit -> active_modules -> source margin -> C(x),kW available to active modules,"state active power capacity after other payload loads, duty limits and simultaneous operations","mission-declared, not a source experiment",Does not include deployment mass or thermal rejection.,yes
directed_energy:input_or_cavity_power,directed_energy,input_or_cavity_power,P_unit,P_unit*t/(eta*m) and P_cap/P_unit -> C(x),kW per active channel at sample boundary,"report calibrated cavity power, input power, reflected power and channel count",source-visible at cavity/sample boundary; wall boundary still open,Power alone cannot certify thermal uniformity or material response.,yes
directed_energy:process_time_or_dwell,directed_energy,process_time_or_dwell,t_s,t_s -> q_bus and required_modules -> C(x),seconds per sample or continuous residence,"report residence-time distribution and whether the process is batch, semi-continuous or continuous",source-visible for reported samples,Does not establish continuous feed.,yes
directed_energy:processed_mass_denominator,directed_energy,processed_mass_denominator,m_s,m_s -> q_bus and required_modules -> C(x),kg per dwell/channel,"report accepted mass per dwell, rejected mass, spatial temperature field and mass-throughput scaling",source-visible for anchor; scale-up denominator still unresolved,Does not prove object-scale uniformity.,yes
directed_energy:wall_to_cavity_efficiency,directed_energy,wall_to_cavity_efficiency,eta,eta -> q_bus=P*t/(eta*m) -> energy margin -> C(x),bus-to-cavity efficiency,"measure wall-plug input, cavity-delivered power, reflected power and thermal loss under the same load",critical efficiency missing for route-complete bus claim,Efficiency value is architecture-specific.,yes
pressure:cycle_energy_numerator,pressure,cycle_energy_numerator,E_cycle,"E_cycle -> q(E,m) -> energy margin -> C(x)",cycle numerator in MJ or kWh,"report metered cycle energy with boundary, duty-cycle accounting and batch denominator",source-visible numerator observed; denominator not batch-verified,Does not certify object-scale strength or liquid recovery.,yes
pressure:cycle_time,pressure,cycle_time,t_c,t_c -> integer throughput N*m*tau/(M*t_c) -> C(x),seconds per closed cycle,"report full cycle time including loading, pressure ramp, dwell, unloading and restart latency","source-visible for small specimen, not necessarily batch-cycle validated",Thermal cycling and operational duty remain outside process closure.,yes
pressure:delivered_power_or_loss_boundary,pressure,delivered_power_or_loss_boundary,"e_star(P,tau,M,L)","P,tau,M,L -> e_star -> energy margin -> C(x)",declared delivered MJ kg-1 allowance,"state mission power, build window, object mass and loss multiplier before comparing routes",declared theorem parameter; needs unified cross-primitive sweep,Mission loss is not a material measurement.,yes
pressure:parallel_unit_count,pressure,parallel_unit_count,N,N -> integer throughput -> C(x),number of simultaneously active units,"report installed units, utilization factor, shared support equipment and maintenance/downtime assumptions","declared design coordinate, not source-verified hardware","Does not price, mass or certify the press train.",yes
pressure:processed_mass_denominator,pressure,processed_mass_denominator,m_batch,"m_batch -> q(E,m) and N*m*tau/(M*t_c) -> C(x)",kg processed per closed cycle,"weigh batch before/after processing and report number of specimens, stack geometry, losses and accepted mass",critical denominator missing from public source; local theorem state only,"The 30 kg state is conditional, not an achieved experiment.",yes
solar_aperture:aperture_area,solar_aperture,aperture_area,A,A*f*eta*I_sun*tau -> delivered energy -> C(x),m2 active optical aperture,"report effective aperture, concentration ratio, pointing losses and usable illuminated time",declared hardware coordinate; route source not a field concentrator,Does not certify deployable optics.,yes
solar_aperture:duty_or_site_illumination,solar_aperture,duty_or_site_illumination,f,f -> A*f -> aperture-duty margin -> C(x),effective illuminated/process duty fraction,link the process window to LOLA/illumination data and report effective continuous duty,"locally modelled, site-specific verification still needed for target site",Dust and thermal storage are separate unless included in eta/f.,yes
solar_aperture:optical_efficiency_or_dust_loss,solar_aperture,optical_efficiency_or_dust_loss,eta_opt,eta_opt -> required aperture-duty -> C(x),fraction of solar flux delivered to process,"measure optical throughput, dust degradation, pointing loss and receiver absorption under lunar-relevant assumptions","declared sensitivity, source-specific loss not locked",Efficiency can be mission-architecture dependent.,yes
solar_aperture:route_energy_per_mass,solar_aperture,route_energy_per_mass,q,"q -> required aperture-duty K(q,eta,M,tau) -> C(x)",MJ kg-1 route-energy screen,measure processed mass and delivered thermal energy at aperture/receiver boundary,"screening anchor, not complete field route energy","Does not include dust, pointing or local topography by itself.",yes
