source_id,short_label,primitive_scope,route_family,source_type,title,doi_or_url,container,year,verification_status,page_lock_basis,safe_use,open_action
Liu2024_MatDes_numeric_anchor,cold-sintering pressure numeric anchor,pressure,cold_sintering,journal_article,Cold sintering: A promising in situ resource utilisation strategy to densify lunar regolith simulants for construction applications,10.1016/j.matdes.2024.112674,Materials & Design,2024,DOI_METADATA_VERIFIED_AND_PRIOR_V279_LOCAL_EXTRACTION,Crossref metadata and V279 local numeric-anchor extraction,pressure exemplar for source-boundary coordinate audit; not route validation,"sentence-level page lock of cycle energy, mass denominator, process time and press-scale terms before final reference list"
Xue2025_Acta_cold_sinter_parameter_optimization,Acta cold-sintering parameter-optimization candidate,pressure,cold_sintering,journal_article,Cold sintering as a promising in-situ lunar regolith resource utilization approach: Parameter optimization for geopolymer products,10.1016/j.actaastro.2025.05.011,Acta Astronautica,2025,DOI_METADATA_VERIFIED_FULLTEXT_COORDINATE_EXTRACTION_REQUIRED,Crossref/HIT metadata only,recent Acta route-context source; coordinate status remains conservative until page extraction,"extract pressure, dwell/cycle time, specimen mass, energy boundary and scale terms from publisher PDF"
Lim2021_SciRep_microwave_context,microwave coupon heating exemplar,directed_energy,microwave_heating,journal_article,Investigating the microwave heating behaviour of lunar soil simulant JSC-1A at different input powers,10.1038/s41598-021-81691-w,Scientific Reports,2021,DOI_AND_NATURE_PAGE_VERIFIED,"Nature page reports 250-1000 W, 50 g starting mass and yield context",directed-energy exemplar for denominator/source-capacity gap,"page-lock dwell times, wall power/cavity efficiency and exact yield rows before final citation"
Kato2024_SciRep_vacuum_microwave_context,vacuum microwave processing context,directed_energy,microwave_vacuum,journal_article,vacuum microwave processing context source used in V279,https://www.nature.com/articles/s41598-024-79504-x,Scientific Reports,2024,PRIOR_V279_SOURCE_GROUP_NEEDS_FINAL_PAGE_LOCK,V279 source-coded group; final DOI/page extraction still open,directed-energy context source; not closure-complete,"verify DOI, page, power, mass and efficiency boundary before final reference list"
Gines2023_SciRep_laser_paving,large-spot CO2 laser paving exemplar,directed_energy,laser_melting,journal_article,Laser melting manufacturing of large elements of lunar regolith simulant for paving on the Moon,10.1038/s41598-023-42008-1,Scientific Reports,2023,DOI_AND_NATURE_PAGE_VERIFIED,"Nature page reports high-power CO2 laser, up to 12 kW, spot diameter, speed/time and paving sample geometry",large-element directed-energy exemplar; not mission bus/source-capacity closure,"extract mass/area denominator, laser-to-regolith efficiency and energy-per-accepted-output boundary"
Linke2022_MOONRISE_laser_melting,MOONRISE mobile laser-melting payload exemplar,directed_energy,laser_melting,journal_article,Two-Dimensional Laser Melting of Lunar Regolith Simulant Using the MOONRISE Payload on a Mobile Manipulator,10.1089/3dp.2020.0323,3D Printing and Additive Manufacturing,2022,DOI_AND_PUBLISHER_PAGE_VERIFIED,SAGE page reports mobile payload experiments and approximately 20 x 20 x 4 mm specimens,mobile-payload directed-energy source-capacity context; not route closure,"extract laser power, scan rate, duty, sample mass and bus/source capacity boundary"
Yuan2022_ArchIntel_laser_sls_bionic,robotic lunar bionic laser-SLS architecture exemplar,directed_energy,laser_sls_robotic_architecture,journal_article,Robotic 3D printed lunar bionic architecture based on lunar regolith selective laser sintering technology,10.1007/s44223-022-00014-9,Architectural Intelligence,2022,DOI_AND_SPRINGER_PAGE_VERIFIED,"Springer abstract reports powder laying/compaction, dual-light laser printing and empirical samples",robotic workflow/source-capacity context; not terminal route closure,"extract laser power, dwell/scan, accepted output denominator and wall/process efficiency"
Meurisse2018_Acta_solar3d,solar 3D printing of lunar regolith exemplar,solar_aperture,solar_sintering,journal_article,Solar 3D printing of lunar regolith,10.1016/j.actaastro.2018.06.063,Acta Astronautica,2018,DOI_METADATA_VERIFIED_ABSTRACT_PAGE_CANDIDATE,Crossref metadata plus accessible abstract snippets; final publisher page lock open,solar-aperture route exemplar; not site-duty or bridge-capacity closure,"extract aperture/concentrator boundary, layer time, accepted output mass, optical efficiency and site-duty assumptions"
Fateri2019_ASCE_solar_sintering,solar sintering under ambient/vacuum exemplar,solar_aperture,solar_sintering,journal_article,Solar Sintering for Lunar Additive Manufacturing,10.1061/(ASCE)AS.1943-5525.0001093,Journal of Aerospace Engineering,2019,DOI_AND_DLR_METADATA_VERIFIED,Crossref/DLR metadata and ASCE abstract page identify solar sintering for lunar AM,solar-aperture exemplar; not route-energy/site-duty closure,"extract solar simulator/aperture equivalent, vacuum/ambient boundary, energy per mass and product denominator"
NASA_NTRS_LLP_2025,NASA/NTRS landing and launching pad design context,cross_primitive_context,landing_pad_requirements,technical_report_record,Lunar Landing and Launching Pad Design Considerations Using ISRU Materials,https://ntrs.nasa.gov/citations/20250011152,NASA NTRS,2025,OFFICIAL_NTRS_RECORD_VERIFIED,official NTRS citation record,"mission-need and requirement-context anchor, not process coordinate evidence",extract exact requirement language and tables from PDF before final citation
Altun2021_OpenCeramics_AM_structures,lunar regolith AM structures context,context_only,ceramic_additive_manufacturing,journal_article,Additive manufacturing of lunar regolith structures,10.1016/j.oceram.2021.100058,Open Ceramics,2021,DOI_METADATA_VERIFIED_CONTEXT_SOURCE,Crossref metadata only,field-positioning source; outside current primitive predicates until route boundary is coded,decide whether its process is inside pressure/directed/solar basis or remains related-work only
Goulas2017_APMT_regolith_simulants_3d_printing,extraterrestrial simulant 3D-printing assessment context,context_only,simulant_3d_printing,journal_article,Assessing extraterrestrial regolith material simulants for in-situ resource utilisation based 3D printing,10.1016/j.apmt.2016.11.004,Applied Materials Today,2017,DOI_METADATA_VERIFIED_CONTEXT_SOURCE,Crossref metadata only,"field-positioning source for simulants and AM context, not closure predicate evidence",extract process route and decide if any active coordinates are terminal measurements
Jakus2017_SciRep_regolith_inks,ambient-condition regolith ink extrusion context,context_only,regolith_ink_extrusion,journal_article,Robust and Elastic Lunar and Martian Structures from 3D-Printed Regolith Inks,10.1038/srep44931,Scientific Reports,2017,DOI_AND_NATURE_PAGE_VERIFIED_CONTEXT_SOURCE,"Nature page reports regolith inks, deposition rates and material properties",related-work contrast for binder/ink routes outside current thermal/pressure predicates,keep as context unless a separate binder/deposition predicate is introduced
Suhaizan2023_Review_regolith_sintering_3d_printing,recent regolith sintering and 3D-printing review,review_context,review,review_article,Regolith sintering and 3D printing for lunar construction: An extensive review on recent progress,10.1007/s40964-023-00537-1,Progress in Additive Manufacturing,2023,DOI_METADATA_VERIFIED_REVIEW_SOURCE,Crossref metadata only,review source for related-work map and corpus expansion; not a terminal coordinate source,mine reference list for systematic corpus expansion and classify routes by primitive
Hintze2009_AIAA_surface_stabilization,lunar surface stabilization via sintering/polymer context,cross_primitive_context,surface_stabilization,conference_paper,Lunar Surface Stabilization via Sintering or the Use of Heat Cured Polymers,10.2514/6.2009-1015,AIAA Aerospace Sciences Meeting,2009,DOI_METADATA_VERIFIED_CONTEXT_SOURCE,Crossref metadata only,historical route-context source; not terminal closure evidence,extract route/process details only if needed for related-work context
Khoshnevis2005_AIAA_lunar_contour_crafting,lunar contour crafting historical context,cross_primitive_context,contour_crafting,conference_paper,Lunar Contour Crafting - A Novel Technique for ISRU-Based Habitat Development,10.2514/6.2005-538,AIAA Aerospace Sciences Meeting,2005,DOI_METADATA_VERIFIED_CONTEXT_SOURCE,Crossref metadata only,historical construction-route context; not current active-coordinate evidence,use only for related-work positioning after full source check
